3,Балаклава Butterfly,"Изображения/ текст вышиты!


На балаклаве имеются 3 отверстия - для глаз и рта. Несмотря на то, что отверстие для носа отсутствует, дышать в ней легко и комфортно, так как материал, из которого она сделана, «дышащий», пористый. Она обеспечивает комфорт при их ношении.",8,1,headdress,product_image/Балаклава_Butterfly.jpg,799
4,Балаклава Face scar,"Изображения/ текст вышиты!
______________
На балаклаве имеются 3 отверстия - для глаз и рта. Несмотря на то, что отверстие для носа отсутствует, дышать в ней легко и комфортно, так как материал, из которого она сделана, «дышащий», пористый. Она обеспечивает комфорт при их ношении.",10,1,headdress,product_image/Балаклава_Face_scar.jpg,799
5,Балаклава Hunting,"Изображения/ текст вышиты!
______________
На балаклаве имеются 3 отверстия - для глаз и рта. Несмотря на то, что отверстие для носа отсутствует, дышать в ней легко и комфортно, так как материал, из которого она сделана, «дышащий», пористый. Она обеспечивает комфорт при их ношении.",10,1,headdress,product_image/Балаклава_Hunting.jpg,799
6,Балаклава Knife Wound,"Изображения/ текст вышиты!
______________
На балаклаве имеются 3 отверстия - для глаз и рта. Несмотря на то, что отверстие для носа отсутствует, дышать в ней легко и комфортно, так как материал, из которого она сделана, «дышащий», пористый. Она обеспечивает комфорт при их ношении.",10,1,headdress,product_image/Балаклава_Knife_Wound.jpg,799
7,Балаклава для грустных,"Изображения/ текст вышиты!
______________
На балаклаве имеются 3 отверстия - для глаз и рта. Несмотря на то, что отверстие для носа отсутствует, дышать в ней легко и комфортно, так как материал, из которого она сделана, «дышащий», пористый. Она обеспечивает комфорт при их ношении.",10,1,headdress,product_image/Балаклава_для_грустных.jpg,799
8,Панама Blessed,"Метод нанесения рисунка: машинная вышивка
Состав: 100% хлопок
Размер: подростковый (56-58)",10,1,headdress,product_image/Панама_Blessed.jpg,799
9,Панама Butterfly,"Метод нанесения рисунка: машинная вышивка

Состав: 100% хлопок

Размер: подростковый (56-58)",10,1,headdress,product_image/Панама_Butterfly.jpg,799
10,Панама For sad,"Метод нанесения рисунка: машинная вышивка
Состав: 100% хлопок
Размер: подростковый (56-58)",10,1,headdress,product_image/Панама_For_sad.jpg,799
11,Панама Good vibes,"Метод нанесения рисунка: машинная вышивка
Состав: 100% хлопок
Размер: подростковый (56-58)",10,1,headdress,product_image/Панама_Good_vibes.jpg,799
12,Панама Pepe the frog,"Метод нанесения рисунка: машинная вышивка
Состав: 100% хлопок
Размер: подростковый (56-58)",10,1,headdress,product_image/Панама_Pepe_the_frog.jpg,799
13,Патч Hope,"Размер: 9х4,5см
Черные пуговицы в комплекте
ПС. некоторые оттенки цветов могут слегка отличаться от того, что на картинке",10,1,patch,product_image/Патч_Hope.jpg,250
14,Патч Kitty,"Размер: 9х4,5см
Черные пуговицы в комплекте
ПС. некоторые оттенки цветов могут слегка отличаться от того, что на картинке",10,1,patch,product_image/Патч_Kitty.jpg,250
15,Патч Lost,"Размер: 9х4,5см
Черные пуговицы в комплекте
ПС. некоторые оттенки цветов могут слегка отличаться от того, что на картинке",10,1,patch,product_image/Патч_Lost.jpg,250
16,Патч No Fear,"Размер: 9х4,5см
Черные пуговицы в комплекте
ПС. некоторые оттенки цветов могут слегка отличаться от того, что на картинке",10,1,patch,product_image/Патч_No_Fear.jpg,250
17,Патч Sad Bart,"Размер: 9х4,5см
Черные пуговицы в комплекте
ПС. некоторые оттенки цветов могут слегка отличаться от того, что на картинке",10,1,patch,product_image/Патч_Sad_Bart.jpg,250
18,Патч Smile,"Размер: 9х4,5см
Черные пуговицы в комплекте
ПС. некоторые оттенки цветов могут слегка отличаться от того, что на картинке",10,1,patch,product_image/Патч_Smile.jpg,250
19,Патч для грустных,"Размер: 9х4,5см
Черные пуговицы в комплекте
ПС. некоторые оттенки цветов могут слегка отличаться от того, что на картинке",10,1,patch,product_image/Патч_для_грустных.jpg,250
20,Патч Дракон-людоед,"Размер: 9х4,5см
Черные пуговицы в комплекте
ПС. некоторые оттенки цветов могут слегка отличаться от того, что на картинке",10,1,patch,product_image/Патч_Дракон-людоед.jpg,250
21,Патч Лягушонок Пепе,"Размер: 9х4,5см
Черные пуговицы в комплекте
ПС. некоторые оттенки цветов могут слегка отличаться от того, что на картинке",10,1,patch,product_image/Патч_Лягушонок_Пепе.jpg,250
22,Поясная сумка Broken Heart,"- Максимальный обхват 120см
- Минимальный обхват 56см
- Два отдела
- Материал: 100% полиэстер",10,1,bag,product_image/Поясная_сумка_Broken_Heart.jpg,999
23,Поясная сумка Dead Inside,"- Максимальный обхват 120см
- Минимальный обхват 56см
- Два отдела
- Материал: 100% полиэстер",10,1,bag,product_image/Поясная_сумка_Dead_Inside.jpg,999
24,Поясная сумка Satan,"- Максимальный обхват 120см
- Минимальный обхват 56см
- Два отдела
- Материал: 100% полиэстер",10,1,bag,product_image/Поясная_сумка_Satan.jpg,999
26,Поясная сумка Корги,"- Максимальный обхват 120см
- Минимальный обхват 56см
- Два отдела
- Материал: 100% полиэстер",10,1,bag,product_image/Поясная_сумка_Корги.jpg,999
27,Поясная сумка Молод и глуп,"- Максимальный обхват 120см
- Минимальный обхват 56см
- Два отдела
- Присутствует внутренний подклад
- Материал: 100% полиэстер",10,1,bag,product_image/Поясная_сумка_Молод_и_глуп.jpg,999
28,Рюкзак Angel,"Стильный рюкзак с вышивкой
_________
- Два внутренних отдела
- Внешний карман
- Качественная вышивка",10,1,bag,product_image/Рюкзак_Angel.jpg,1199
29,Рюкзак Butterfly,"Стильный рюкзак с вышивкой
_________
- Два внутренних отдела
- Внешний карман
- Качественная вышивка",10,1,bag,product_image/Рюкзак_Butterfly.jpg,1199
30,Рюкзак Devil in me,"Стильный рюкзак с вышивкой
_________
- Два внутренних отдела
- Внешний карман
- Качественная вышивка",10,1,bag,product_image/Рюкзак_Devil_in_me.jpg,1199
31,Рюкзак Hungry shark,"Стильный рюкзак с вышивкой
_________
- Два внутренних отдела
- Внешний карман
- Качественная вышивка",10,1,bag,product_image/Рюкзак_Hungry_shark.jpg,1199
32,Рюкзак Im okay,"Стильный рюкзак с вышивкой
_________
- Два внутренних отдела
- Внешний карман
- Качественная вышивка",10,1,bag,product_image/Рюкзак_Im_okay.jpg,1199
33,Свитшот Rich the moneymaker,"Метод нанесения принта: машинная вышивка

Состав: 100% хлопок",10,1,blouse,product_image/Свитшот_Rich_the_moneymaker.jpg,1699
34,Свитшот Безликий черный,"Метод нанесения принта: машинная вышивка

Состав: 100% хлопок",10,1,blouse,product_image/Свитшот_Безликий_black.jpg,1699
35,Свитшот Безликий оранжевый,"Метод нанесения принта: машинная вышивка

Состав: 100% хлопок",10,1,blouse,product_image/Свитшот_Безликий_orange.jpg,1699
36,Футболка Euphoria  черная,"Метод нанесения принта: машинная вышивка

Состав: 100% хлопок",10,1,t-shirt,product_image/Футболка_Euphoria__черная.jpg,849
37,Футболка Angel белая,"Метод нанесения принта: машинная вышивка

Состав: 100% хлопок",10,1,t-shirt,product_image/Футболка_Angel__белая.jpg,849
38,Футболка Angel красная,"Метод нанесения принта: машинная вышивка

Состав: 100% хлопок",10,1,t-shirt,product_image/Футболка_Angel_красная.jpg,849
39,Футболка Angel черная,"Метод нанесения принта: машинная вышивка

Состав: 100% хлопок",10,1,t-shirt,product_image/Футболка_Angel_черная.jpg,849
40,Футболка Chaos at heart белая,"Метод нанесения принта: машинная вышивка

Состав: 100% хлопок",10,1,t-shirt,product_image/Футболка_Chaos_at_heart__белая.jpg,849
41,Футболка Chaos at heart красная,"Метод нанесения принта: машинная вышивка

Состав: 100% хлопок",10,1,t-shirt,product_image/Футболка_Chaos_at_heart_красная.jpg,849
42,Футболка Euphoria белая,"Метод нанесения принта: машинная вышивка

Состав: 100% хлопок",10,1,t-shirt,product_image/Футболка_Euphoria_белая.jpg,849
43,Футболка Euphoria красная,"Метод нанесения принта: машинная вышивка

Состав: 100% хлопок",10,1,t-shirt,product_image/Футболка_Euphoria_красная.jpg,849
44,Худи Amidamaru,"Метод нанесения принта: машинная вышивка

Состав: 100% хлопок",10,1,blouse,product_image/Худи_Amidamaru.jpg,1999
45,Худи Death-taker,"Метод нанесения принта: машинная вышивка

Состав: 100% хлопок",10,1,blouse,product_image/Худи_Death-taker.jpg,1999
46,Худи Nishinoya,"Метод нанесения принта: машинная вышивка

Состав: 100% хлопок",10,1,blouse,product_image/Худи_Nishinoya.jpg,1999
47,Худи Only cash,"Метод нанесения принта: машинная вышивка



Состав: 100% хлопок",10,1,blouse,product_image/Худи_Only_cash.jpg,1999
48,Худи Rich the moneymaker,"Метод нанесения принта: машинная вышивка

Состав: 100% хлопок",10,1,blouse,product_image/Худи_Rich_the_moneymaker.jpg,1999
49,Худи Безликий,"Метод нанесения принта: машинная вышивка



Состав: 100% хлопок",10,1,blouse,product_image/Худи_Безликий__black_J2R3n3Y.jpg,1999
